sid,gtype,n_trips,qmax,total_mass,total_vol,total_energy,cum_time,cum_time_h,max_trip_time,mean_load,energy_per_kg
S001,A,10,25.0,154.0,0.394,12.3735,12358.8,3.433,1265.9,15.4,0.08035
S001,B,7,30.0,154.0,0.394,7.7841,8209.5,2.28,1224.2,22.0,0.05055
S001,C,2,80.0,154.0,0.394,5.9229,3223.7,0.895,1710.8,77.0,0.03846
S002,A,5,25.0,81.0,0.211,14.5671,9892.2,2.748,2002.4,16.2,0.17984
S002,B,4,30.0,81.0,0.211,10.1175,7023.0,1.951,1755.8,20.25,0.12491
S002,C,2,68.99,81.0,0.211,10.4056,3949.9,1.097,1975.0,40.5,0.12846
S003,A,5,25.0,81.0,0.211,14.8815,11188.6,3.108,2261.7,16.2,0.18372
S003,B,4,30.0,81.0,0.211,10.3848,8079.2,2.244,2019.8,20.25,0.12821
S003,C,2,68.282,81.0,0.211,10.4894,4606.7,1.28,2369.4,40.5,0.1295
S004,A,4,25.0,59.0,0.156,12.2279,8634.1,2.398,2188.5,14.75,0.20725
S004,B,3,30.0,59.0,0.156,7.9874,5795.3,1.61,1931.8,19.67,0.13538
S004,C,1,63.759,59.0,0.156,6.1496,2313.8,0.643,2313.8,59.0,0.10423
S005,A,4,25.0,59.0,0.156,8.3835,6626.3,1.841,1686.6,14.75,0.14209
S005,B,3,30.0,59.0,0.156,5.4771,4532.5,1.259,1510.8,19.67,0.09283
S005,C,1,80.0,59.0,0.156,4.2136,1870.9,0.52,1870.9,59.0,0.07142
S006,A,4,25.0,59.0,0.156,5.1898,5132.8,1.426,1313.2,14.75,0.08796
S006,B,3,30.0,59.0,0.156,3.4041,3621.2,1.006,1207.1,19.67,0.0577
S006,C,1,80.0,59.0,0.156,2.5966,1561.3,0.434,1561.3,59.0,0.04401
S007,A,3,25.0,45.0,0.129,5.6665,5120.5,1.422,1726.8,15.0,0.12592
S007,B,2,30.0,45.0,0.129,3.4338,3211.6,0.892,1635.8,22.5,0.07631
S007,C,1,80.0,45.0,0.129,3.4082,1907.1,0.53,1907.1,45.0,0.07574
S008,A,3,25.0,45.0,0.129,9.5153,6447.4,1.791,2169.1,15.0,0.21145
S008,B,2,28.869,45.0,0.129,5.7302,3860.5,1.072,1960.2,22.5,0.12734
S008,C,1,59.091,45.0,0.129,5.8274,2198.1,0.611,2198.1,45.0,0.1295
S009,A,2,25.0,25.0,0.067,4.3955,3312.6,0.92,1686.3,12.5,0.17582
S009,B,1,30.0,25.0,0.067,2.093,1556.4,0.432,1556.4,25.0,0.08372
S009,C,1,80.0,25.0,0.067,3.7638,1642.3,0.456,1642.3,25.0,0.15055
S010,A,2,25.0,25.0,0.067,3.808,3239.8,0.9,1649.9,12.5,0.15232
S010,B,1,30.0,25.0,0.067,1.8203,1550.5,0.431,1550.5,25.0,0.07281
S010,C,1,80.0,25.0,0.067,3.2262,1662.8,0.462,1662.8,25.0,0.12905
S011,A,2,25.0,25.0,0.067,2.2428,2376.8,0.66,1218.4,12.5,0.08971
S011,B,1,30.0,25.0,0.067,1.0713,1185.0,0.329,1185.0,25.0,0.04285
S011,C,1,80.0,25.0,0.067,1.8961,1274.1,0.354,1274.1,25.0,0.07584
S012,A,2,25.0,25.0,0.067,5.771,4161.7,1.156,2110.8,12.5,0.23084
S012,B,1,30.0,25.0,0.067,2.7509,1924.7,0.535,1924.7,25.0,0.11004
S012,C,1,68.191,25.0,0.067,4.9184,2043.2,0.568,2043.2,25.0,0.19674
S013,A,2,25.0,25.0,0.067,3.817,3163.0,0.879,1611.5,12.5,0.15268
S013,B,1,30.0,25.0,0.067,1.8233,1510.0,0.419,1510.0,25.0,0.07293
S013,C,1,80.0,25.0,0.067,3.2466,1611.1,0.448,1611.1,25.0,0.12986
S014,A,2,25.0,25.0,0.067,4.4669,3919.9,1.089,1990.0,12.5,0.17868
S014,B,1,30.0,25.0,0.067,2.1392,1869.4,0.519,1869.4,25.0,0.08557
S014,C,1,80.0,25.0,0.067,3.7367,2034.9,0.565,2034.9,25.0,0.14947
S015,A,2,25.0,25.0,0.067,4.8163,3875.0,1.076,1967.5,12.5,0.19265
S015,B,1,30.0,25.0,0.067,2.3049,1827.4,0.508,1827.4,25.0,0.0922
S015,C,1,80.0,25.0,0.067,4.0709,1965.6,0.546,1965.6,25.0,0.16284
