trip_id,sid,gtype,boxes,n_box,mass,vol,rt_time,energy,soc_end
Q1-S001-A-01,S001,A,S001-WAT-01|S001-FOD-03,2,22.0,0.055,1265.88,1.2872,71.4
Q1-S001-A-02,S001,A,S001-WAT-02|S001-FOD-01,2,22.0,0.055,1265.88,1.2872,71.4
Q1-S001-A-03,S001,A,S001-WAT-05|S001-FOD-02,2,22.0,0.055,1265.88,1.2872,71.4
Q1-S001-A-04,S001,A,S001-MED-02|S001-HYG-02,2,9.0,0.047,1265.88,1.1957,73.43
Q1-S001-A-05,S001,A,S001-WAT-04,1,14.0,0.027,1205.88,1.2241,72.8
Q1-S001-A-06,S001,A,S001-MED-01|S001-HYG-01,2,9.0,0.047,1265.88,1.1957,73.43
Q1-S001-A-07,S001,A,S001-WAT-03,1,14.0,0.027,1205.88,1.2241,72.8
Q1-S001-A-08,S001,A,S001-WAT-06,1,14.0,0.027,1205.88,1.2241,72.8
Q1-S001-A-09,S001,A,S001-WAT-07,1,14.0,0.027,1205.88,1.2241,72.8
Q1-S001-A-10,S001,A,S001-WAT-08,1,14.0,0.027,1205.88,1.2241,72.8
Q1-S001-B-01,S001,B,S001-MED-01|S001-MED-02|S001-WAT-03,3,20.0,0.051,1224.21,1.0786,73.03
Q1-S001-B-02,S001,B,S001-WAT-01|S001-FOD-02,2,22.0,0.055,1164.21,1.1077,72.31
Q1-S001-B-03,S001,B,S001-WAT-04|S001-FOD-01,2,22.0,0.055,1164.21,1.1077,72.31
Q1-S001-B-04,S001,B,S001-WAT-06|S001-HYG-02,2,20.0,0.062,1164.21,1.0786,73.03
Q1-S001-B-05,S001,B,S001-WAT-02|S001-HYG-01,2,20.0,0.062,1164.21,1.0786,73.03
Q1-S001-B-06,S001,B,S001-WAT-05|S001-WAT-07,2,28.0,0.054,1164.21,1.2252,69.37
Q1-S001-B-07,S001,B,S001-WAT-08|S001-FOD-03,2,22.0,0.055,1164.21,1.1077,72.31
Q1-S001-C-01,S001,C,S001-WAT-04|S001-WAT-05|S001-WAT-06|S001-WAT-07|S001-WAT-08|S001-FOD-03,6,78.0,0.163,1512.84,3.0005,62.49
Q1-S001-C-02,S001,C,S001-MED-01|S001-MED-02|S001-WAT-01|S001-WAT-02|S001-WAT-03|S001-FOD-01|S001-FOD-02|S001-HYG-01|S001-HYG-02,9,76.0,0.231,1710.84,2.9224,63.47
Q1-S002-A-01,S002,A,S002-MED-01|S002-HYG-01,2,9.0,0.047,2002.45,2.8025,37.72
Q1-S002-A-02,S002,A,S002-WAT-01|S002-FOD-01,2,22.0,0.055,2002.45,3.0147,33.01
Q1-S002-A-03,S002,A,S002-WAT-02|S002-FOD-02,2,22.0,0.055,2002.45,3.0147,33.01
Q1-S002-A-04,S002,A,S002-WAT-03,1,14.0,0.027,1942.45,2.8676,36.27
Q1-S002-A-05,S002,A,S002-WAT-04,1,14.0,0.027,1942.45,2.8676,36.27
Q1-S002-B-01,S002,B,S002-WAT-02|S002-HYG-01,2,20.0,0.062,1755.75,2.5167,37.08
Q1-S002-B-02,S002,B,S002-WAT-01|S002-FOD-02,2,22.0,0.055,1755.75,2.5857,35.36
Q1-S002-B-03,S002,B,S002-MED-01|S002-WAT-03,2,17.0,0.039,1755.75,2.4294,39.26
Q1-S002-B-04,S002,B,S002-WAT-04|S002-FOD-01,2,22.0,0.055,1755.75,2.5857,35.36
Q1-S002-C-01,S002,C,S002-WAT-02|S002-WAT-04|S002-FOD-02|S002-HYG-01,4,42.0,0.117,1974.96,5.2416,34.48
Q1-S002-C-02,S002,C,S002-MED-01|S002-WAT-01|S002-WAT-03|S002-FOD-01,4,39.0,0.094,1974.96,5.164,35.45
Q1-S003-A-01,S003,A,S003-WAT-01,1,14.0,0.027,2201.72,2.9293,34.91
Q1-S003-A-02,S003,A,S003-MED-01|S003-HYG-01,2,9.0,0.047,2261.72,2.8605,36.43
Q1-S003-A-03,S003,A,S003-WAT-02|S003-FOD-01,2,22.0,0.055,2261.72,3.0812,31.53
Q1-S003-A-04,S003,A,S003-WAT-03|S003-FOD-02,2,22.0,0.055,2261.72,3.0812,31.53
Q1-S003-A-05,S003,A,S003-WAT-04,1,14.0,0.027,2201.72,2.9293,34.91
Q1-S003-B-01,S003,B,S003-WAT-02|S003-FOD-02,2,22.0,0.055,2019.8,2.6531,33.67
Q1-S003-B-02,S003,B,S003-WAT-01|S003-FOD-01,2,22.0,0.055,2019.8,2.6531,33.67
Q1-S003-B-03,S003,B,S003-MED-01|S003-WAT-03,2,17.0,0.039,2019.8,2.4951,37.62
Q1-S003-B-04,S003,B,S003-WAT-04|S003-HYG-01,2,20.0,0.062,2019.8,2.5835,35.41
Q1-S003-C-01,S003,C,S003-WAT-02|S003-WAT-03|S003-WAT-04,3,42.0,0.081,2237.37,5.2842,33.95
Q1-S003-C-02,S003,C,S003-MED-01|S003-WAT-01|S003-FOD-01|S003-FOD-02|S003-HYG-01,5,39.0,0.13,2369.37,5.2052,34.94
Q1-S004-A-01,S004,A,S004-WAT-01,1,14.0,0.027,2128.52,3.0354,32.55
Q1-S004-A-02,S004,A,S004-MED-01|S004-HYG-01,2,9.0,0.047,2188.52,2.9659,34.09
Q1-S004-A-03,S004,A,S004-WAT-02,1,14.0,0.027,2128.52,3.0354,32.55
Q1-S004-A-04,S004,A,S004-WAT-03|S004-FOD-01,2,22.0,0.055,2188.52,3.1912,29.08
Q1-S004-B-01,S004,B,S004-WAT-01|S004-FOD-01,2,22.0,0.055,1931.76,2.7414,31.47
Q1-S004-B-02,S004,B,S004-MED-01|S004-WAT-02,2,17.0,0.039,1931.76,2.5771,35.57
Q1-S004-B-03,S004,B,S004-WAT-03|S004-HYG-01,2,20.0,0.062,1931.76,2.6689,33.28
Q1-S004-C-01,S004,C,S004-MED-01|S004-WAT-01|S004-WAT-02|S004-WAT-03|S004-FOD-01|S004-HYG-01,6,59.0,0.156,2313.83,6.1496,23.13
Q1-S005-A-01,S005,A,S005-WAT-01,1,14.0,0.027,1626.57,2.0811,53.75
Q1-S005-A-02,S005,A,S005-MED-01|S005-HYG-01,2,9.0,0.047,1686.57,2.0334,54.81
Q1-S005-A-03,S005,A,S005-WAT-02,1,14.0,0.027,1626.57,2.0811,53.75
Q1-S005-A-04,S005,A,S005-WAT-03|S005-FOD-01,2,22.0,0.055,1686.57,2.1879,51.38
Q1-S005-B-01,S005,B,S005-WAT-02|S005-HYG-01,2,20.0,0.062,1510.82,1.8301,54.25
Q1-S005-B-02,S005,B,S005-MED-01|S005-WAT-03,2,17.0,0.039,1510.82,1.7672,55.82
Q1-S005-B-03,S005,B,S005-WAT-01|S005-FOD-01,2,22.0,0.055,1510.82,1.8798,53.01
Q1-S005-C-01,S005,C,S005-MED-01|S005-WAT-01|S005-WAT-02|S005-WAT-03|S005-FOD-01|S005-HYG-01,6,59.0,0.156,1870.87,4.2136,47.33
Q1-S006-A-01,S006,A,S006-WAT-01,1,14.0,0.027,1253.21,1.2882,71.37
Q1-S006-A-02,S006,A,S006-MED-01|S006-HYG-01,2,9.0,0.047,1313.21,1.2571,72.06
Q1-S006-A-03,S006,A,S006-WAT-02,1,14.0,0.027,1253.21,1.2882,71.37
Q1-S006-A-04,S006,A,S006-WAT-03|S006-FOD-01,2,22.0,0.055,1313.21,1.3563,69.86
Q1-S006-B-01,S006,B,S006-WAT-02|S006-HYG-01,2,20.0,0.062,1207.06,1.1375,71.56
Q1-S006-B-02,S006,B,S006-MED-01|S006-WAT-03,2,17.0,0.039,1207.06,1.0982,72.55
Q1-S006-B-03,S006,B,S006-WAT-01|S006-FOD-01,2,22.0,0.055,1207.06,1.1684,70.79
Q1-S006-C-01,S006,C,S006-MED-01|S006-WAT-01|S006-WAT-02|S006-WAT-03|S006-FOD-01|S006-HYG-01,6,59.0,0.156,1561.34,2.5966,67.54
Q1-S007-A-01,S007,A,S007-MED-01|S007-HYG-01,2,9.0,0.047,1726.84,1.826,59.42
Q1-S007-A-02,S007,A,S007-WAT-01,1,14.0,0.027,1666.84,1.8711,58.42
Q1-S007-A-03,S007,A,S007-WAT-02|S007-FOD-01,2,22.0,0.055,1726.84,1.9694,56.24
Q1-S007-B-01,S007,B,S007-WAT-02|S007-HYG-01,2,20.0,0.062,1575.81,1.6552,58.62
Q1-S007-B-02,S007,B,S007-MED-01|S007-WAT-01|S007-FOD-01,3,25.0,0.067,1635.81,1.7786,55.53
Q1-S007-C-01,S007,C,S007-MED-01|S007-WAT-01|S007-WAT-02|S007-FOD-01|S007-HYG-01,5,45.0,0.129,1907.1,3.4082,57.4
Q1-S008-A-01,S008,A,S008-MED-01|S008-HYG-01,2,9.0,0.047,2169.13,3.0699,31.78
Q1-S008-A-02,S008,A,S008-WAT-01|S008-FOD-01,2,22.0,0.055,2169.13,3.3036,26.59
Q1-S008-A-03,S008,A,S008-WAT-02,1,14.0,0.027,2109.13,3.1418,30.18
Q1-S008-B-01,S008,B,S008-WAT-02|S008-HYG-01,2,20.0,0.062,1900.23,2.7594,31.02
Q1-S008-B-02,S008,B,S008-MED-01|S008-WAT-01|S008-FOD-01,3,25.0,0.067,1960.23,2.9708,25.73
Q1-S008-C-01,S008,C,S008-MED-01|S008-WAT-01|S008-WAT-02|S008-FOD-01|S008-HYG-01,5,45.0,0.129,2198.1,5.8274,27.16
Q1-S009-A-01,S009,A,S009-WAT-01,1,14.0,0.027,1626.29,2.2138,50.81
Q1-S009-A-02,S009,A,S009-MED-01|S009-FOD-01,2,11.0,0.04,1686.29,2.1817,51.52
Q1-S009-B-01,S009,B,S009-MED-01|S009-WAT-01|S009-FOD-01,3,25.0,0.067,1556.37,2.093,47.68
Q1-S009-C-01,S009,C,S009-MED-01|S009-WAT-01|S009-FOD-01,3,25.0,0.067,1642.26,3.7638,52.95
Q1-S010-A-01,S010,A,S010-WAT-01,1,14.0,0.027,1589.92,1.9184,57.37
Q1-S010-A-02,S010,A,S010-MED-01|S010-FOD-01,2,11.0,0.04,1649.92,1.8896,58.01
Q1-S010-B-01,S010,B,S010-MED-01|S010-WAT-01|S010-FOD-01,3,25.0,0.067,1550.53,1.8203,54.49
Q1-S010-C-01,S010,C,S010-MED-01|S010-WAT-01|S010-FOD-01,3,25.0,0.067,1662.83,3.2262,59.67
Q1-S011-A-01,S011,A,S011-WAT-01,1,14.0,0.027,1158.42,1.1298,74.89
Q1-S011-A-02,S011,A,S011-MED-01|S011-FOD-01,2,11.0,0.04,1218.42,1.113,75.27
Q1-S011-B-01,S011,B,S011-MED-01|S011-WAT-01|S011-FOD-01,3,25.0,0.067,1184.95,1.0713,73.22
Q1-S011-C-01,S011,C,S011-MED-01|S011-WAT-01|S011-FOD-01,3,25.0,0.067,1274.1,1.8961,76.3
Q1-S012-A-01,S012,A,S012-WAT-01,1,14.0,0.027,2050.83,2.9067,35.41
Q1-S012-A-02,S012,A,S012-MED-01|S012-FOD-01,2,11.0,0.04,2110.83,2.8643,36.35
Q1-S012-B-01,S012,B,S012-MED-01|S012-WAT-01|S012-FOD-01,3,25.0,0.067,1924.72,2.7509,31.23
Q1-S012-C-01,S012,C,S012-MED-01|S012-WAT-01|S012-FOD-01,3,25.0,0.067,2043.25,4.9184,38.52
Q1-S013-A-01,S013,A,S013-WAT-01,1,14.0,0.027,1551.48,1.9229,57.27
Q1-S013-A-02,S013,A,S013-MED-01|S013-FOD-01,2,11.0,0.04,1611.48,1.8941,57.91
Q1-S013-B-01,S013,B,S013-MED-01|S013-WAT-01|S013-FOD-01,3,25.0,0.067,1509.97,1.8233,54.42
Q1-S013-C-01,S013,C,S013-MED-01|S013-WAT-01|S013-FOD-01,3,25.0,0.067,1611.13,3.2466,59.42
Q1-S014-A-01,S014,A,S014-WAT-01,1,14.0,0.027,1929.95,2.2505,49.99
Q1-S014-A-02,S014,A,S014-MED-01|S014-FOD-01,2,11.0,0.04,1989.95,2.2164,50.75
Q1-S014-B-01,S014,B,S014-MED-01|S014-WAT-01|S014-FOD-01,3,25.0,0.067,1869.39,2.1392,46.52
Q1-S014-C-01,S014,C,S014-MED-01|S014-WAT-01|S014-FOD-01,3,25.0,0.067,2034.92,3.7367,53.29
Q1-S015-A-01,S015,A,S015-WAT-01,1,14.0,0.027,1907.49,2.4266,46.07
Q1-S015-A-02,S015,A,S015-MED-01|S015-FOD-01,2,11.0,0.04,1967.49,2.3897,46.89
Q1-S015-B-01,S015,B,S015-MED-01|S015-WAT-01|S015-FOD-01,3,25.0,0.067,1827.4,2.3049,42.38
Q1-S015-C-01,S015,C,S015-MED-01|S015-WAT-01|S015-FOD-01,3,25.0,0.067,1965.63,4.0709,49.11
