sid,gtype,n_trips,qmax,total_mass,total_vol,total_energy,cum_time,cum_time_h,max_trip_time,mean_load,energy_per_kg
S001,C,2,80.0,154.0,0.394,5.9229,3223.7,0.895,1710.8,77.0,0.03846
S002,C,2,68.99,81.0,0.211,10.4056,3949.9,1.097,1975.0,40.5,0.12846
S003,C,2,68.282,81.0,0.211,10.4894,4606.7,1.28,2369.4,40.5,0.1295
S004,C,1,63.759,59.0,0.156,6.1496,2313.8,0.643,2313.8,59.0,0.10423
S005,C,1,80.0,59.0,0.156,4.2136,1870.9,0.52,1870.9,59.0,0.07142
S006,C,1,80.0,59.0,0.156,2.5966,1561.3,0.434,1561.3,59.0,0.04401
S007,C,1,80.0,45.0,0.129,3.4082,1907.1,0.53,1907.1,45.0,0.07574
S008,C,1,59.091,45.0,0.129,5.8274,2198.1,0.611,2198.1,45.0,0.1295
S009,B,1,30.0,25.0,0.067,2.093,1556.4,0.432,1556.4,25.0,0.08372
S010,B,1,30.0,25.0,0.067,1.8203,1550.5,0.431,1550.5,25.0,0.07281
S011,B,1,30.0,25.0,0.067,1.0713,1185.0,0.329,1185.0,25.0,0.04285
S012,B,1,30.0,25.0,0.067,2.7509,1924.7,0.535,1924.7,25.0,0.11004
S013,B,1,30.0,25.0,0.067,1.8233,1510.0,0.419,1510.0,25.0,0.07293
S014,B,1,30.0,25.0,0.067,2.1392,1869.4,0.519,1869.4,25.0,0.08557
S015,B,1,30.0,25.0,0.067,2.3049,1827.4,0.508,1827.4,25.0,0.0922
