sid,gtype,gname,dist,zmax,z_cruise,h_up,Q_model,q_max,energy_at_qmax,energy_limit,energy_slack,binding,V,rt_flight_s
S001,A,中轻载标准测试多旋翼,3049.8,233.7,283.7,156.0,25.0,25.0,1.3176,3.6,2.2824,载质量,0.06,695.9
S001,B,中载标准测试多旋翼,3049.8,233.7,283.7,156.0,30.0,30.0,1.2787,3.2,1.9213,载质量,0.073,594.2
S001,C,重载标准测试多旋翼,3049.8,233.7,283.7,156.0,80.0,80.0,3.0864,6.4,3.3136,载质量,0.25,636.8
S002,A,中轻载标准测试多旋翼,7401.0,259.2,309.2,181.5,25.0,25.0,3.0864,3.6,0.5136,载质量,0.06,1432.4
S002,B,中载标准测试多旋翼,7401.0,259.2,309.2,181.5,30.0,30.0,2.9948,3.2,0.2052,载质量,0.073,1185.7
S002,C,重载标准测试多旋翼,7401.0,259.2,309.2,181.5,80.0,68.99,6.4,6.4,0.0,能量,0.25,1231.0
S003,A,中轻载标准测试多旋翼,7257.7,511.8,561.8,434.1,25.0,25.0,3.1544,3.6,0.4456,载质量,0.06,1691.7
S003,B,中载标准测试多旋翼,7257.7,511.8,561.8,434.1,30.0,30.0,3.0621,3.2,0.1379,载质量,0.073,1449.8
S003,C,重载标准测试多旋翼,7257.7,511.8,561.8,434.1,80.0,68.282,6.4,6.4,0.0,能量,0.25,1559.4
S004,A,中轻载标准测试多旋翼,7702.9,356.2,406.2,278.5,25.0,25.0,3.2668,3.6,0.3332,载质量,0.06,1618.5
S004,B,中载标准测试多旋翼,7702.9,356.2,406.2,278.5,30.0,30.0,3.1699,3.2,0.0301,载质量,0.073,1361.8
S004,C,重载标准测试多旋翼,7702.9,356.2,406.2,278.5,80.0,63.759,6.4,6.4,0.0,能量,0.25,1437.8
S005,A,中轻载标准测试多旋翼,5272.5,273.5,323.5,195.8,25.0,25.0,2.2397,3.6,1.3603,载质量,0.06,1116.6
S005,B,中载标准测试多旋翼,5272.5,273.5,323.5,195.8,30.0,30.0,2.1732,3.2,1.0268,载质量,0.073,940.8
