sid,gtype,k,energy,cum_time_h,max_load,min_load,load_std
S001,A,10,12.37353,3.433,22.0,9.0,4.716
S001,A,11,13.48511,3.7513,22.0,9.0,3.275
S001,A,12,14.61302,4.0696,16.0,8.0,2.478
S001,A,13,15.75727,4.3879,14.0,8.0,2.741
S001,A,14,16.91299,4.7062,14.0,6.0,3.525
S001,A,15,18.0746,5.0245,14.0,3.0,4.234
S001,B,7,7.78395,2.2804,28.0,20.0,2.619
S001,B,8,8.5751,2.5705,22.0,14.0,2.773
S001,B,9,9.41365,2.8605,22.0,14.0,2.807
S001,B,10,10.26172,3.1506,20.0,14.0,1.96
S001,B,11,11.12588,3.4407,14.0,14.0,0.0
S001,B,12,12.02523,3.7307,14.0,8.0,1.863
S001,B,13,12.93551,4.0208,14.0,8.0,2.741
S001,B,14,13.85584,4.3108,14.0,6.0,3.525
S001,B,15,14.78468,4.6009,14.0,3.0,4.234
S001,C,2,5.9229,0.8955,78.0,76.0,1.0
S001,C,3,7.0016,1.2057,52.0,51.0,0.471
S001,C,4,8.69248,1.5159,40.0,36.0,1.5
S001,C,5,10.5078,1.8262,34.0,28.0,1.939
S001,C,6,12.37073,2.1364,28.0,22.0,2.055
S001,C,7,14.25968,2.4466,28.0,20.0,2.619
S001,C,8,16.16164,2.7569,22.0,14.0,2.773
S001,C,9,18.07254,3.0671,22.0,14.0,2.807
S001,C,10,19.98576,3.3773,20.0,14.0,1.96
S001,C,11,21.90301,3.6876,14.0,14.0,0.0
S001,C,12,23.83144,3.9978,14.0,8.0,1.863
S001,C,13,25.764,4.3081,14.0,8.0,2.741
S001,C,14,27.70098,4.6183,14.0,6.0,3.525
S001,C,15,29.64226,4.9285,14.0,3.0,4.234
S002,A,5,14.5672,2.7478,22.0,9.0,5.075
S002,A,6,17.1722,3.2707,16.0,9.0,2.141
S002,A,7,19.85647,3.7937,14.0,8.0,2.821
S002,A,8,22.57574,4.3166,14.0,3.0,4.136
S002,B,4,10.11751,1.9508,22.0,17.0,2.046
S002,B,5,12.06654,2.4052,20.0,14.0,2.227
S002,B,6,14.09083,2.8596,14.0,11.0,1.118
S002,B,7,16.2063,3.314,14.0,8.0,2.821
S002,B,8,18.36412,3.7683,14.0,3.0,4.136
S002,C,2,10.40557,1.0972,42.0,39.0,1.5
S002,C,3,14.74208,1.5725,28.0,25.0,1.414
S002,C,4,19.23486,2.0477,22.0,17.0,2.046
S002,C,5,23.77972,2.523,20.0,14.0,2.227
S002,C,6,28.34416,2.9983,14.0,11.0,1.118
S002,C,7,32.93872,3.4735,14.0,8.0,2.821
S002,C,8,37.55207,3.9488,14.0,3.0,4.136
S003,A,5,14.88151,3.1079,22.0,9.0,5.075
S003,A,6,17.53966,3.7029,16.0,9.0,2.141
S003,A,7,20.27554,4.2978,14.0,8.0,2.821
S003,A,8,23.04574,4.8927,14.0,3.0,4.136
S003,B,4,10.38478,2.2442,22.0,17.0,2.046
S003,B,5,12.39227,2.7719,20.0,14.0,2.227
S003,B,6,14.47355,3.2997,14.0,11.0,1.118
S003,B,7,16.64425,3.8274,14.0,8.0,2.821
S003,B,8,18.85648,4.3551,14.0,3.0,4.136
S003,C,2,10.48941,1.2796,42.0,39.0,1.5
S003,C,3,14.8454,1.8461,28.0,25.0,1.414
S003,C,4,19.35463,2.4126,22.0,17.0,2.046
S003,C,5,23.91494,2.9791,20.0,14.0,2.227
S003,C,6,28.49445,3.5456,14.0,11.0,1.118
S003,C,7,33.10349,4.1121,14.0,8.0,2.821
S003,C,8,37.73095,4.6786,14.0,3.0,4.136
S004,A,4,12.22794,2.3984,22.0,9.0,4.657
S004,A,5,15.02651,2.973,14.0,8.0,2.713
S004,A,6,17.90276,3.5475,14.0,3.0,4.413
S004,B,3,7.98733,1.6098,22.0,17.0,2.055
S004,B,4,10.08269,2.1131,17.0,14.0,1.299
S004,B,5,12.30188,2.6163,14.0,8.0,2.713
S004,B,6,14.5905,3.1196,14.0,3.0,4.413
S004,C,1,6.1496,0.6427,59.0,59.0,0.0
S004,C,2,10.43507,1.1755,31.0,28.0,1.5
S004,C,3,15.14727,1.7082,22.0,17.0,2.055
S004,C,4,19.92934,2.2409,17.0,14.0,1.299
S004,C,5,24.74844,2.7737,14.0,8.0,2.713
S004,C,6,29.59596,3.3064,14.0,3.0,4.413
S005,A,4,8.38355,1.8406,22.0,9.0,4.657
S005,A,5,10.30227,2.2758,14.0,8.0,2.713
S005,A,6,12.27416,2.7109,14.0,3.0,4.413
S005,B,3,5.4771,1.259,22.0,17.0,2.055
S005,B,4,6.91426,1.6454,17.0,14.0,1.299
S005,B,5,8.43619,2.0317,14.0,8.0,2.713
S005,B,6,10.00562,2.418,14.0,3.0,4.413
S005,C,1,4.21359,0.5197,59.0,59.0,0.0
S005,C,2,7.15006,0.9294,31.0,28.0,1.5
S005,C,3,10.37862,1.3391,22.0,17.0,2.055
S005,C,4,13.65501,1.7487,17.0,14.0,1.299
S005,C,5,16.95674,2.1584,14.0,8.0,2.713
S005,C,6,20.27792,2.5681,14.0,3.0,4.413
S006,A,4,5.18979,1.4258,22.0,9.0,4.657
S006,A,5,6.37353,1.7572,14.0,8.0,2.713
S006,A,6,7.58938,2.0887,14.0,3.0,4.413
S006,B,3,3.40414,1.0059,22.0,17.0,2.055
S006,B,4,4.29525,1.3078,17.0,14.0,1.299
S006,B,5,5.23754,1.6098,14.0,8.0,2.713
S006,B,6,6.20854,1.9118,14.0,3.0,4.413
S006,C,1,2.5966,0.4337,59.0,59.0,0.0
S006,C,2,4.39503,0.7574,31.0,28.0,1.5
S006,C,3,6.36988,1.0811,22.0,17.0,2.055
S006,C,4,8.37361,1.4048,17.0,14.0,1.299
S006,C,5,10.39266,1.7285,14.0,8.0,2.713
S006,C,6,12.42345,2.0522,14.0,3.0,4.413
S007,A,3,5.66641,1.4224,22.0,9.0,5.354
S007,A,4,7.38648,1.8687,14.0,8.0,2.773
S007,A,5,9.15224,2.3151,14.0,3.0,4.382
S007,B,2,3.43377,0.8921,25.0,20.0,2.5
S007,B,3,4.70255,1.2965,17.0,14.0,1.414
S007,B,4,6.07654,1.7009,14.0,8.0,2.773
S007,B,5,7.49136,2.1053,14.0,3.0,4.382
S007,C,1,3.4082,0.5297,45.0,45.0,0.0
S007,C,2,6.17501,0.9678,23.0,22.0,0.5
S007,C,3,9.05653,1.4059,17.0,14.0,1.414
S007,C,4,11.96499,1.844,14.0,8.0,2.773
S007,C,5,14.89018,2.2821,14.0,3.0,4.382
S008,A,3,9.51534,1.7909,22.0,9.0,5.354
S008,A,4,12.41159,2.3601,14.0,8.0,2.773
S008,A,5,15.3892,2.9293,14.0,3.0,4.382
S008,B,2,5.73023,1.0724,25.0,20.0,2.5
S008,B,3,7.83486,1.5669,17.0,14.0,1.414
S008,B,4,10.12682,2.0614,14.0,8.0,2.773
S008,B,5,12.49148,2.5559,14.0,3.0,4.382
S008,C,1,5.8274,0.6106,45.0,45.0,0.0
S008,C,2,10.58755,1.1295,23.0,22.0,0.5
S008,C,3,15.55192,1.6484,17.0,14.0,1.414
S008,C,4,20.56427,2.1673,14.0,8.0,2.773
S008,C,5,25.60638,2.6863,14.0,3.0,4.382
S009,A,2,4.39543,0.9202,14.0,11.0,1.5
S009,A,3,6.49021,1.3552,14.0,3.0,4.497
S009,B,1,2.093,0.4323,25.0,25.0,0.0
S009,B,2,3.59737,0.8147,14.0,11.0,1.5
S009,B,3,5.2577,1.197,14.0,3.0,4.497
S009,C,1,3.76377,0.4562,25.0,25.0,0.0
S009,C,2,7.26935,0.8574,14.0,11.0,1.5
S009,C,3,10.82329,1.2586,14.0,3.0,4.497
S010,A,2,3.80802,0.9,14.0,11.0,1.5
S010,A,3,5.61776,1.3249,14.0,3.0,4.497
S010,B,1,1.8203,0.4307,25.0,25.0,0.0
S010,B,2,3.13084,0.8114,14.0,11.0,1.5
S010,B,3,4.57227,1.1921,14.0,3.0,4.497
S010,C,1,3.22618,0.4619,25.0,25.0,0.0
S010,C,2,6.21991,0.8688,14.0,11.0,1.5
S010,C,3,9.25424,1.2757,14.0,3.0,4.497
S011,A,2,2.24282,0.6602,14.0,11.0,1.5
S011,A,3,3.30957,0.9654,14.0,3.0,4.497
S011,B,1,1.07131,0.3292,25.0,25.0,0.0
