sid,gtype,payload_probe_kg,range_empty_m,range_half_payload_m,range_max_payload_m,range_positive,range_nonincreasing,energy_outbound_empty_kwh,energy_outbound_probe_kwh,energy_return_empty_kwh,energy_return_probe_kwh,energy_limit_after_reserve_kwh,rho,outbound_loaded_return_empty_rule,energy_nonnegative
S001,A,25.0,25000.0,23232.23304703363,20000.0,True,True,0.5902661993300491,0.7422574834388738,0.57536581352758,0.7220355312783799,3.6,0.2,True,True
S001,B,30.0,28000.0,23757.359312880715,16000.0,True,True,0.4740371251707392,0.8185031333580126,0.460201052639875,0.7982811811975188,3.2,0.2,True,True
S001,C,80.0,26000.0,21050.25253169417,12000.0,True,True,0.979646522460018,2.121653020246268,0.964767422922981,2.089744908363552,6.4,0.2,True,True
S002,A,25.0,25000.0,23232.23304703363,20000.0,True,True,1.3802311574888586,1.7304369198263136,1.3559353241555252,1.697464003159647,3.6,0.2,True,True
S002,B,30.0,28000.0,23757.359312880715,16000.0,True,True,1.1019041861854817,1.9154623934114916,1.0793437695188148,1.882489476744825,3.2,0.2,True,True
S002,C,80.0,26000.0,21050.25253169417,12000.0,True,True,2.3252157060074614,5.03690344860335,2.3009545810074616,4.984875656936683,6.4,0.2,True,True
S003,A,25.0,25000.0,23232.23304703363,20000.0,True,True,1.4212829964474285,1.7889134115147232,1.365492564348663,1.71319782509497,3.6,0.2,True,True
S003,B,30.0,28000.0,23757.359312880715,16000.0,True,True,1.1435034389656529,1.970356853301299,1.091698037731085,1.8946412668815458,3.2,0.2,True,True
S003,C,80.0,26000.0,21050.25253169417,12000.0,True,True,2.3478761394625325,5.084520971204696,2.292165407981051,4.965049745896054,6.4,0.2,True,True
S004,A,25.0,25000.0,23232.23304703363,20000.0,True,True,1.4602305250929641,1.8331857578576387,1.4336056794139518,1.7970520387218363,3.6,0.2,True,True
S004,B,30.0,28000.0,23757.359312880715,16000.0,True,True,1.1688582429571737,2.02575792144647,1.1441351719695194,1.9896242023106674,3.2,0.2,True,True
S004,C,80.0,26000.0,21050.25253169417,12000.0,True,True,2.443724582378082,5.293104424177615,2.417137772192897,5.236089218930702,6.4,0.2,True,True
S005,A,25.0,25000.0,23232.23304703363,20000.0,True,True,1.0008693375497164,1.2566388935108694,0.9830576863151486,1.2324659382639558,3.6,0.2,True,True
S005,B,30.0,28000.0,23757.359312880715,16000.0,True,True,0.8013324305132472,1.3884511994638733,0.7847930400811484,1.3642782442169596,3.2,0.2,True,True
S005,C,80.0,26000.0,21050.25253169417,12000.0,True,True,1.674052009104077,3.6259652272669305,1.6562658030855584,3.5878228484089054,6.4,0.2,True,True
S006,A,25.0,25000.0,23232.23304703363,20000.0,True,True,0.6363207856957072,0.8021611060365426,0.5868028073006455,0.7349581353575302,3.6,0.2,True,True
S006,B,30.0,28000.0,23757.359312880715,16000.0,True,True,0.5135292452200017,0.8817758693427316,0.46754826528173005,0.8145728986637192,3.2,0.2,True,True
S006,C,80.0,26000.0,21050.25253169417,12000.0,True,True,1.0428783648279136,2.2581726981843184,0.9934311264019877,2.1521334844497506,6.4,0.2,True,True
S007,A,25.0,25000.0,23232.23304703363,20000.0,True,True,0.9172715354175129,1.1574860544439936,0.8588344983804759,1.0781786470365862,3.6,0.2,True,True
