rho,sid,gtype,n_trips,feasible,qmax,total_energy
0.1,S001,A,10.0,True,25.0,12.3735
0.1,S001,B,7.0,True,30.0,7.7841
0.1,S001,C,2.0,True,80.0,5.9229
0.1,S002,A,5.0,True,25.0,14.5671
0.1,S002,B,4.0,True,30.0,10.1175
0.1,S002,C,2.0,True,78.689,10.4056
0.1,S003,A,5.0,True,25.0,14.8815
0.1,S003,B,4.0,True,30.0,10.3848
0.1,S003,C,2.0,True,78.287,10.4894
0.1,S004,A,4.0,True,25.0,12.2279
0.1,S004,B,3.0,True,30.0,7.9874
0.1,S004,C,1.0,True,74.934,6.1496
0.1,S005,A,4.0,True,25.0,8.3835
0.1,S005,B,3.0,True,30.0,5.4771
0.1,S005,C,1.0,True,80.0,4.2136
0.1,S006,A,4.0,True,25.0,5.1898
0.1,S006,B,3.0,True,30.0,3.4041
0.1,S006,C,1.0,True,80.0,2.5966
0.1,S007,A,3.0,True,25.0,5.6665
0.1,S007,B,2.0,True,30.0,3.4338
0.1,S007,C,1.0,True,80.0,3.4082
0.1,S008,A,3.0,True,25.0,9.5153
0.1,S008,B,2.0,True,30.0,5.7302
0.1,S008,C,1.0,True,71.57,5.8274
0.1,S009,A,2.0,True,25.0,4.3955
0.1,S009,B,1.0,True,30.0,2.093
0.1,S009,C,1.0,True,80.0,3.7638
0.1,S010,A,2.0,True,25.0,3.808
0.1,S010,B,1.0,True,30.0,1.8203
0.1,S010,C,1.0,True,80.0,3.2262
0.1,S011,A,2.0,True,25.0,2.2428
0.1,S011,B,1.0,True,30.0,1.0713
0.1,S011,C,1.0,True,80.0,1.8961
0.1,S012,A,2.0,True,25.0,5.771
0.1,S012,B,1.0,True,30.0,2.7509
0.1,S012,C,1.0,True,78.147,4.9184
0.1,S013,A,2.0,True,25.0,3.817
0.1,S013,B,1.0,True,30.0,1.8233
0.1,S013,C,1.0,True,80.0,3.2466
0.1,S014,A,2.0,True,25.0,4.4669
0.1,S014,B,1.0,True,30.0,2.1392
0.1,S014,C,1.0,True,80.0,3.7367
0.1,S015,A,2.0,True,25.0,4.8163
0.1,S015,B,1.0,True,30.0,2.3049
0.1,S015,C,1.0,True,80.0,4.0709
0.2,S001,A,10.0,True,25.0,12.3735
0.2,S001,B,7.0,True,30.0,7.7841
0.2,S001,C,2.0,True,80.0,5.9229
0.2,S002,A,5.0,True,25.0,14.5671
0.2,S002,B,4.0,True,30.0,10.1175
0.2,S002,C,2.0,True,68.99,10.4056
0.2,S003,A,5.0,True,25.0,14.8815
0.2,S003,B,4.0,True,30.0,10.3848
0.2,S003,C,2.0,True,68.282,10.4894
0.2,S004,A,4.0,True,25.0,12.2279
0.2,S004,B,3.0,True,30.0,7.9874
0.2,S004,C,1.0,True,63.759,6.1496
0.2,S005,A,4.0,True,25.0,8.3835
0.2,S005,B,3.0,True,30.0,5.4771
0.2,S005,C,1.0,True,80.0,4.2136
0.2,S006,A,4.0,True,25.0,5.1898
0.2,S006,B,3.0,True,30.0,3.4041
0.2,S006,C,1.0,True,80.0,2.5966
0.2,S007,A,3.0,True,25.0,5.6665
