rho,sid,gtype,q_max,binding,limit
0.1,S001,A,25.0,载质量,4.05
0.1,S001,B,30.0,载质量,3.6
0.1,S001,C,80.0,载质量,7.2
0.1,S002,A,25.0,载质量,4.05
0.1,S002,B,30.0,载质量,3.6
0.1,S002,C,78.689,能量,7.2
0.1,S003,A,25.0,载质量,4.05
0.1,S003,B,30.0,载质量,3.6
0.1,S003,C,78.287,能量,7.2
0.1,S004,A,25.0,载质量,4.05
0.1,S004,B,30.0,载质量,3.6
0.1,S004,C,74.934,能量,7.2
0.1,S005,A,25.0,载质量,4.05
0.1,S005,B,30.0,载质量,3.6
0.1,S005,C,80.0,载质量,7.2
0.1,S006,A,25.0,载质量,4.05
0.1,S006,B,30.0,载质量,3.6
0.1,S006,C,80.0,载质量,7.2
0.1,S007,A,25.0,载质量,4.05
0.1,S007,B,30.0,载质量,3.6
0.1,S007,C,80.0,载质量,7.2
0.1,S008,A,25.0,载质量,4.05
0.1,S008,B,30.0,载质量,3.6
0.1,S008,C,71.57,能量,7.2
0.1,S009,A,25.0,载质量,4.05
0.1,S009,B,30.0,载质量,3.6
0.1,S009,C,80.0,载质量,7.2
0.1,S010,A,25.0,载质量,4.05
0.1,S010,B,30.0,载质量,3.6
0.1,S010,C,80.0,载质量,7.2
0.1,S011,A,25.0,载质量,4.05
0.1,S011,B,30.0,载质量,3.6
0.1,S011,C,80.0,载质量,7.2
0.1,S012,A,25.0,载质量,4.05
0.1,S012,B,30.0,载质量,3.6
0.1,S012,C,78.147,能量,7.2
0.1,S013,A,25.0,载质量,4.05
0.1,S013,B,30.0,载质量,3.6
0.1,S013,C,80.0,载质量,7.2
0.1,S014,A,25.0,载质量,4.05
0.1,S014,B,30.0,载质量,3.6
0.1,S014,C,80.0,载质量,7.2
0.1,S015,A,25.0,载质量,4.05
0.1,S015,B,30.0,载质量,3.6
0.1,S015,C,80.0,载质量,7.2
0.15,S001,A,25.0,载质量,3.825
0.15,S001,B,30.0,载质量,3.4
0.15,S001,C,80.0,载质量,6.8
0.15,S002,A,25.0,载质量,3.825
0.15,S002,B,30.0,载质量,3.4
0.15,S002,C,74.351,能量,6.8
0.15,S003,A,25.0,载质量,3.825
0.15,S003,B,30.0,载质量,3.4
0.15,S003,C,73.816,能量,6.8
0.15,S004,A,25.0,载质量,3.825
0.15,S004,B,30.0,载质量,3.4
0.15,S004,C,69.968,能量,6.8
0.15,S005,A,25.0,载质量,3.825
0.15,S005,B,30.0,载质量,3.4
0.15,S005,C,80.0,载质量,6.8
0.15,S006,A,25.0,载质量,3.825
0.15,S006,B,30.0,载质量,3.4
0.15,S006,C,80.0,载质量,6.8
0.15,S007,A,25.0,载质量,3.825
0.15,S007,B,30.0,载质量,3.4
0.15,S007,C,80.0,载质量,6.8
0.15,S008,A,25.0,载质量,3.825
0.15,S008,B,30.0,载质量,3.4
0.15,S008,C,66.057,能量,6.8
0.15,S009,A,25.0,载质量,3.825
0.15,S009,B,30.0,载质量,3.4
0.15,S009,C,80.0,载质量,6.8
0.15,S010,A,25.0,载质量,3.825
0.15,S010,B,30.0,载质量,3.4
0.15,S010,C,80.0,载质量,6.8
0.15,S011,A,25.0,载质量,3.825
0.15,S011,B,30.0,载质量,3.4
0.15,S011,C,80.0,载质量,6.8
0.15,S012,A,25.0,载质量,3.825
0.15,S012,B,30.0,载质量,3.4
0.15,S012,C,73.699,能量,6.8
0.15,S013,A,25.0,载质量,3.825
0.15,S013,B,30.0,载质量,3.4
0.15,S013,C,80.0,载质量,6.8
0.15,S014,A,25.0,载质量,3.825
0.15,S014,B,30.0,载质量,3.4
0.15,S014,C,80.0,载质量,6.8
0.15,S015,A,25.0,载质量,3.825
0.15,S015,B,30.0,载质量,3.4
0.15,S015,C,80.0,载质量,6.8
0.2,S001,A,25.0,载质量,3.6
0.2,S001,B,30.0,载质量,3.2
0.2,S001,C,80.0,载质量,6.4
0.2,S002,A,25.0,载质量,3.6
0.2,S002,B,30.0,载质量,3.2
0.2,S002,C,68.99,能量,6.4
0.2,S003,A,25.0,载质量,3.6
0.2,S003,B,30.0,载质量,3.2
0.2,S003,C,68.282,能量,6.4
0.2,S004,A,25.0,载质量,3.6
0.2,S004,B,30.0,载质量,3.2
0.2,S004,C,63.759,能量,6.4
0.2,S005,A,25.0,载质量,3.6
0.2,S005,B,30.0,载质量,3.2
0.2,S005,C,80.0,载质量,6.4
0.2,S006,A,25.0,载质量,3.6
0.2,S006,B,30.0,载质量,3.2
0.2,S006,C,80.0,载质量,6.4
0.2,S007,A,25.0,载质量,3.6
0.2,S007,B,30.0,载质量,3.2
0.2,S007,C,80.0,载质量,6.4
0.2,S008,A,25.0,载质量,3.6
0.2,S008,B,28.869,能量,3.2
0.2,S008,C,59.091,能量,6.4
0.2,S009,A,25.0,载质量,3.6
0.2,S009,B,30.0,载质量,3.2
0.2,S009,C,80.0,载质量,6.4
0.2,S010,A,25.0,载质量,3.6
0.2,S010,B,30.0,载质量,3.2
0.2,S010,C,80.0,载质量,6.4
0.2,S011,A,25.0,载质量,3.6
0.2,S011,B,30.0,载质量,3.2
0.2,S011,C,80.0,载质量,6.4
0.2,S012,A,25.0,载质量,3.6
0.2,S012,B,30.0,载质量,3.2
0.2,S012,C,68.191,能量,6.4
0.2,S013,A,25.0,载质量,3.6
0.2,S013,B,30.0,载质量,3.2
0.2,S013,C,80.0,载质量,6.4
0.2,S014,A,25.0,载质量,3.6
0.2,S014,B,30.0,载质量,3.2
0.2,S014,C,80.0,载质量,6.4
0.2,S015,A,25.0,载质量,3.6
0.2,S015,B,30.0,载质量,3.2
0.2,S015,C,80.0,载质量,6.4
0.25,S001,A,25.0,载质量,3.375
0.25,S001,B,30.0,载质量,3.0
0.25,S001,C,80.0,载质量,6.0
0.25,S002,A,25.0,载质量,3.375
0.25,S002,B,30.0,载质量,3.0
0.25,S002,C,62.172,能量,6.0
0.25,S003,A,25.0,载质量,3.375
0.25,S003,B,29.072,能量,3.0
0.25,S003,C,61.236,能量,6.0
0.25,S004,A,25.0,载质量,3.375
0.25,S004,B,27.408,能量,3.0
0.25,S004,C,55.735,能量,6.0
0.25,S005,A,25.0,载质量,3.375
0.25,S005,B,30.0,载质量,3.0
0.25,S005,C,80.0,载质量,6.0
0.25,S006,A,25.0,载质量,3.375
0.25,S006,B,30.0,载质量,3.0
0.25,S006,C,80.0,载质量,6.0
0.25,S007,A,25.0,载质量,3.375
0.25,S007,B,30.0,载质量,3.0
0.25,S007,C,80.0,载质量,6.0
0.25,S008,A,24.742,能量,3.375
0.25,S008,B,25.564,能量,3.0
0.25,S008,C,49.941,能量,6.0
0.25,S009,A,25.0,载质量,3.375
0.25,S009,B,30.0,载质量,3.0
0.25,S009,C,80.0,载质量,6.0
0.25,S010,A,25.0,载质量,3.375
