battery,gtype,n_trips,total_energy,min_soc,charge_total_s,last_free
A1,A,3,7.4447,30.18,3650.7,9028.6
A2,A,1,2.3681,47.37,1184.1,3175.1
A3,A,1,3.4369,23.63,1492.9,5545.9
A4,A,1,3.0543,32.13,1382.4,5664.4
A5,A,1,2.3222,48.4,1170.9,3238.9
A6,A,2,4.2705,49.97,2233.7,6890.4
B1,B,1,3.0024,24.94,1967.7,6386.7
B2,B,2,5.3322,31.23,3643.9,9637.2
B3,B,2,5.489,30.52,3711.9,9410.0
B4,B,2,4.8644,25.33,3441.3,7577.0
C1,C,1,6.2659,21.68,2530.4,7287.4
C2,C,2,10.3443,20.04,4468.3,9664.8
C3,C,2,9.3529,21.12,4199.7,10002.4
C4,C,1,5.4845,31.44,2318.7,6794.7
