box,trip_id,sid,deliver
S001-WAT-02,Q2-T03,S001,1257.6
S001-WAT-05,Q2-T03,S001,1257.6
S001-WAT-01,Q2-T03,S001,1257.6
S001-WAT-04,Q2-T03,S001,1257.6
S001-HYG-01,Q2-T03,S001,1257.6
S001-MED-01,Q2-T03,S001,1257.6
S001-WAT-03,Q2-T03,S001,1257.6
S006-FOD-01,Q2-T04,S006,1233.3
S006-WAT-02,Q2-T04,S006,1233.3
S006-WAT-01,Q2-T04,S006,1233.3
S006-MED-01,Q2-T04,S006,1233.3
S006-HYG-01,Q2-T04,S006,1233.3
S011-WAT-01,Q2-T04,S011,1511.3
S011-FOD-01,Q2-T04,S011,1511.3
S011-MED-01,Q2-T04,S011,1511.3
S007-WAT-02,Q2-T08,S007,1065.5
S007-WAT-01,Q2-T08,S007,1065.5
S010-WAT-01,Q2-T09,S010,1102.5
S010-FOD-01,Q2-T09,S010,1102.5
S013-WAT-01,Q2-T18,S013,1359.0
S010-MED-01,Q2-T18,S010,1102.5
S013-MED-01,Q2-T18,S013,1359.0
S012-WAT-01,Q2-T10,S012,1273.3
S012-FOD-01,Q2-T10,S012,1273.3
S012-MED-01,Q2-T10,S012,1273.3
S014-FOD-01,Q2-T19,S014,1273.5
S014-WAT-01,Q2-T19,S014,1273.5
S006-WAT-03,Q2-T22,S006,885.4
S002-FOD-02,Q2-T11,S002,2795.8
S002-MED-01,Q2-T11,S002,2795.8
S002-WAT-04,Q2-T11,S002,2795.8
S001-WAT-06,Q2-T01,S001,2932.6
S001-WAT-07,Q2-T01,S001,2932.6
S001-WAT-08,Q2-T01,S001,2932.6
S001-FOD-01,Q2-T01,S001,2932.6
S001-FOD-02,Q2-T01,S001,2932.6
S001-FOD-03,Q2-T01,S001,2932.6
S001-HYG-02,Q2-T01,S001,2932.6
S014-MED-01,Q2-T01,S014,3317.7
S001-MED-02,Q2-T01,S001,2932.6
S013-FOD-01,Q2-T16,S013,3344.1
S002-WAT-01,Q2-T16,S002,2903.2
S015-WAT-01,Q2-T13,S015,3448.3
S003-FOD-01,Q2-T13,S003,3220.1
S007-MED-01,Q2-T13,S007,2991.5
S002-WAT-02,Q2-T15,S002,3321.2
S009-FOD-01,Q2-T15,S009,3539.7
S002-FOD-01,Q2-T20,S002,3420.2
S002-WAT-03,Q2-T20,S002,3420.2
S005-WAT-01,Q2-T14,S005,3896.0
S004-HYG-01,Q2-T14,S004,3727.9
S004-MED-01,Q2-T14,S004,3727.9
S004-WAT-03,Q2-T14,S004,3727.9
S004-WAT-01,Q2-T14,S004,3727.9
S004-FOD-01,Q2-T14,S004,3727.9
S004-WAT-02,Q2-T06,S004,4750.9
S002-HYG-01,Q2-T06,S002,4521.8
S009-WAT-01,Q2-T12,S009,5177.7
S009-MED-01,Q2-T12,S009,5177.7
S003-HYG-01,Q2-T05,S003,6085.1
S003-WAT-03,Q2-T05,S003,6085.1
S003-WAT-02,Q2-T05,S003,6085.1
S007-HYG-01,Q2-T05,S007,6179.3
S003-WAT-04,Q2-T05,S003,6085.1
S003-WAT-01,Q2-T05,S003,6085.1
S005-HYG-01,Q2-T02,S005,6115.1
S005-FOD-01,Q2-T02,S005,6115.1
S005-WAT-03,Q2-T02,S005,6115.1
S005-MED-01,Q2-T02,S005,6115.1
S008-WAT-02,Q2-T02,S008,6434.2
S008-HYG-01,Q2-T02,S008,6434.2
S008-FOD-01,Q2-T02,S008,6434.2
S008-MED-01,Q2-T02,S008,6434.2
S005-WAT-02,Q2-T07,S005,6271.2
S015-FOD-01,Q2-T07,S015,6748.4
S015-MED-01,Q2-T07,S015,6748.4
S008-WAT-01,Q2-T21,S008,6815.8
S003-FOD-02,Q2-T17,S003,6933.9
S003-MED-01,Q2-T17,S003,6933.9
S007-FOD-01,Q2-T17,S007,7131.7
