trip_id,drone,gtype,battery,start,stops,end,energy,n_box,mass,soc_end,charge_s,boxes
Q2-T03,U08,C,C3,0.0,S001,1579.0,3.0424,7,79.0,61.97,1657.3,S001-WAT-02|S001-WAT-05|S001-WAT-01|S001-WAT-04|S001-HYG-01|S001-MED-01|S001-WAT-03
Q2-T04,U07,C,C2,0.0,S006->S011,2174.0,3.9477,8,70.0,50.65,1902.5,S006-FOD-01|S006-WAT-02|S006-WAT-01|S006-MED-01|S006-HYG-01|S011-WAT-01|S011-FOD-01|S011-MED-01
Q2-T08,U06,B,B4,0.0,S007,1576.0,1.8775,2,28.0,53.06,1480.3,S007-WAT-02|S007-WAT-01
Q2-T09,U02,A,A6,0.0,S010,1650.0,2.0191,2,22.0,55.13,1083.3,S010-WAT-01|S010-FOD-01
Q2-T18,U03,A,A5,0.0,S010->S013,2068.0,2.3222,3,20.0,48.4,1170.9,S013-WAT-01|S010-MED-01|S013-MED-01
Q2-T10,U05,B,B2,1.0,S012,1926.0,2.7509,3,25.0,31.23,1858.7,S012-WAT-01|S012-FOD-01|S012-MED-01
Q2-T19,U04,A,A2,1.0,S014,1991.0,2.3681,2,22.0,47.37,1184.1,S014-FOD-01|S014-WAT-01
Q2-T22,U01,A,A1,10.0,S006,1264.0,1.2882,1,14.0,71.37,872.1,S006-WAT-03
Q2-T11,U06,B,B3,1576.0,S002,3392.0,2.7099,3,25.0,32.25,1840.9,S002-FOD-02|S002-MED-01|S002-WAT-04
Q2-T01,U08,C,C4,1579.0,S001->S014,4476.0,5.4845,9,78.0,31.44,2318.7,S001-WAT-06|S001-WAT-07|S001-WAT-08|S001-FOD-01|S001-FOD-02|S001-FOD-03|S001-HYG-02|S014-MED-01|S001-MED-02
Q2-T16,U02,A,A3,1650.0,S002->S013,4053.0,3.4369,2,22.0,23.63,1492.9,S013-FOD-01|S002-WAT-01
Q2-T13,U05,B,B1,1926.0,S007->S003->S015,4419.0,3.0024,3,25.0,24.94,1967.7,S015-WAT-01|S003-FOD-01|S007-MED-01
Q2-T15,U03,A,A4,2068.0,S002->S009,4282.0,3.0543,2,22.0,32.13,1382.4,S002-WAT-02|S009-FOD-01
Q2-T20,U01,A,A1,2137.0,S002,4140.0,3.0147,2,22.0,33.01,1370.9,S002-FOD-01|S002-WAT-03
Q2-T14,U07,C,C1,2174.0,S004->S005,4757.0,6.2659,6,59.0,21.68,2530.4,S005-WAT-01|S004-HYG-01|S004-MED-01|S004-WAT-03|S004-WAT-01|S004-FOD-01
Q2-T06,U06,B,B4,3392.0,S002->S004,5616.0,2.9869,2,20.0,25.33,1961.0,S004-WAT-02|S002-HYG-01
Q2-T12,U02,A,A6,4053.0,S009,5740.0,2.2514,2,17.0,49.97,1150.4,S009-WAT-01|S009-MED-01
Q2-T05,U08,C,C2,4476.0,S003->S007,7099.0,6.3966,6,68.0,20.04,2565.8,S003-HYG-01|S003-WAT-03|S003-WAT-02|S007-HYG-01|S003-WAT-04|S003-WAT-01
Q2-T02,U07,C,C3,4757.0,S005->S008,7460.0,6.3104,8,62.0,21.12,2542.4,S005-HYG-01|S005-FOD-01|S005-WAT-03|S005-MED-01|S008-WAT-02|S008-HYG-01|S008-FOD-01|S008-MED-01
Q2-T07,U05,B,B3,5233.0,S005->S015,7539.0,2.7792,3,25.0,30.52,1871.0,S005-WAT-02|S015-FOD-01|S015-MED-01
Q2-T21,U01,A,A1,5511.0,S008,7621.0,3.1418,1,14.0,30.18,1407.6,S008-WAT-01
Q2-T17,U06,B,B2,5616.0,S003->S007,7852.0,2.5813,3,19.0,35.47,1785.2,S003-FOD-02|S003-MED-01|S007-FOD-01
