运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
Q2-T03,爬升,510.0,1578.8,直连,
Q2-T04,爬升,540.0,2173.5,直连,
Q2-T08,爬升,360.0,488.1,直连,
Q2-T08,巡航,488.1,1422.1,中继,Q3-R02
Q2-T08,下降,1422.1,1575.8,直连,
Q2-T09,爬升,360.0,461.6,直连,
Q2-T09,巡航,461.6,1528.0,中继,Q3-R01
Q2-T09,下降,1528.0,1649.9,直连,
Q2-T18,爬升,390.0,491.6,直连,
Q2-T18,巡航,491.6,1958.6,中继,Q3-R01
Q2-T18,下降,1958.6,2067.2,直连,
Q2-T10,爬升,391.0,486.9,直连,
Q2-T10,巡航,486.9,1810.7,中继,Q3-R01
Q2-T10,下降,1810.7,1925.7,直连,
Q2-T19,爬升,361.0,515.7,直连,
Q2-T19,巡航,515.7,1805.2,中继,Q3-R01
Q2-T19,下降,1805.2,1990.9,直连,
Q2-T22,爬升,340.0,1263.2,直连,
Q2-T11,爬升,1966.0,2026.5,直连,
Q2-T11,巡航,2026.5,3319.1,中继,Q3-R01
Q2-T11,下降,3319.1,3391.7,直连,
Q2-T01,爬升,2149.0,3099.0,直连,
Q2-T01,巡航,3099.0,4243.2,中继,Q3-R01
Q2-T01,下降,4243.2,4475.3,直连,
Q2-T16,爬升,2010.0,2070.5,直连,
Q2-T16,巡航,2070.5,3943.7,中继,Q3-R01
Q2-T16,下降,3943.7,4052.3,直连,
Q2-T13,爬升,2316.0,2444.1,直连,
Q2-T13,巡航,2444.1,4240.9,中继,Q3-R02
Q2-T13,下降,4240.9,4418.6,直连,
Q2-T15,爬升,2428.0,2488.5,直连,
Q2-T15,巡航,2488.5,4215.3,中继,Q3-R01
Q2-T15,下降,4215.3,4281.3,直连,
Q2-T20,爬升,2497.0,2557.5,直连,
Q2-T20,巡航,2557.5,4066.8,中继,Q3-R01
Q2-T20,下降,4066.8,4139.4,直连,
Q2-T14,爬升,2654.0,2765.4,直连,
Q2-T14,巡航,2765.4,4658.9,中继,Q3-R03
Q2-T14,下降,4658.9,4756.8,直连,
Q2-T06,爬升,3752.0,3812.5,直连,
Q2-T06,巡航,3812.5,5503.7,中继,Q3-R03
Q2-T06,下降,5503.7,5615.1,直连,
Q2-T12,爬升,4413.0,4467.9,直连,
Q2-T12,巡航,4467.9,5673.4,中继,Q3-R03
Q2-T12,下降,5673.4,5739.3,直连,
Q2-T05,爬升,4956.0,5129.6,直连,
Q2-T05,巡航,5129.6,6906.7,中继,Q3-R02
Q2-T05,下降,6906.7,7098.9,直连,
Q2-T02,爬升,5297.0,5375.3,直连,
Q2-T02,巡航,5375.3,7336.8,中继,Q3-R02
Q2-T02,下降,7336.8,7459.4,直连,
Q2-T07,爬升,5623.0,5688.3,直连,
Q2-T07,巡航,5688.3,7361.0,中继,Q3-R02
Q2-T07,下降,7361.0,7538.7,直连,
Q2-T21,爬升,5841.0,5922.7,直连,
Q2-T21,巡航,5922.7,7522.0,中继,Q3-R02
Q2-T21,下降,7522.0,7620.1,直连,
Q2-T17,爬升,6006.0,6150.7,直连,
Q2-T17,巡航,6150.7,7698.3,中继,Q3-R02
Q2-T17,下降,7698.3,7852.0,直连,
