trip_id,t0,t1,dur,n_cand,relay_trip_id
Q2-T08,761.4,1148.8,387.4,108,Q3-R02
Q2-T09,801.1,1188.5,387.5,134,Q3-R01
Q2-T18,831.1,1614.6,783.6,131,Q3-R01
Q2-T10,755.4,1542.2,786.8,108,Q3-R01
Q2-T19,850.7,1470.3,619.7,66,Q3-R01
Q2-T11,2295.6,3050.0,754.4,187,Q3-R01
Q2-T01,3315.3,3968.7,653.4,66,Q3-R01
Q2-T16,2408.3,3599.7,1191.5,120,Q3-R01
Q2-T13,2717.4,3974.1,1256.8,65,Q3-R02
Q2-T15,2826.3,3874.1,1047.8,164,Q3-R01
Q2-T20,2895.3,3729.1,833.8,187,Q3-R01
Q2-T14,3161.6,4395.2,1233.7,40,Q3-R03
Q2-T06,4081.6,5107.6,1025.9,80,Q3-R03
Q2-T12,4809.2,5332.1,522.9,394,Q3-R02
Q2-T05,5393.6,6633.4,1239.9,75,Q3-R02
Q2-T02,5638.9,6183.8,544.8,260,Q3-R02
Q2-T02,6241.6,7038.0,796.4,116,Q3-R02
Q2-T07,5951.9,6327.3,375.4,260,Q3-R02
Q2-T07,6588.2,7094.2,506.1,135,Q3-R02
Q2-T21,6296.2,7148.6,852.4,116,Q3-R02
Q2-T17,6414.6,7425.0,1010.4,75,Q3-R02
