k,part_id,groups,n_areas,运输无人机-A,运输无人机-B,运输无人机-C,共享电池-A,共享电池-B,共享电池-C,中继无人机,中继能源组件,资源缺口,组间不均衡,各组工作量,_wl,_res,_grp,配置规模,规模指数,冗余
2,1,"组1{S002,S003,S004,S005,S007,S008,S009,S010,S013,S015,S001,S014,S006,S011} | 组2{S012}",14;1,4,3,2,6,5,4,4,4,4,0.898390275618949,74.75;4.00,"[74.7457, 4.0007]","[{'drones': {'A': 4, 'B': 2, 'C': 2}, 'batteries': {'A': 6, 'B': 4, 'C': 4}, 'relay_drones': 3, 'relay_modules': 3}, {'drones': {'B': 1}, 'batteries': {'B': 1}, 'relay_drones': 1, 'relay_modules': 1}]","((0, 1, 2), (3,))",32,9.416666666666666,2
2,2,"组1{S002,S003,S004,S005,S007,S008,S009,S010,S013,S015,S001,S014,S012} | 组2{S006,S011}",13;2,4,2,3,7,4,5,3,3,4,0.864874071894767,72.26;5.24,"[72.2607, 5.2359]","[{'drones': {'A': 3, 'B': 2, 'C': 2}, 'batteries': {'A': 6, 'B': 4, 'C': 4}, 'relay_drones': 3, 'relay_modules': 3}, {'drones': {'A': 1, 'C': 1}, 'batteries': {'A': 1, 'C': 1}, 'relay_drones': 0, 'relay_modules': 0}]","((0, 1, 3), (2,))",31,8.916666666666668,3
2,3,"组1{S002,S003,S004,S005,S007,S008,S009,S010,S013,S015,S001,S014} | 组2{S006,S011,S012}",12;3,4,3,3,7,5,5,4,4,7,0.7654089583777798,69.51;9.24,"[69.5098, 9.236600000000001]","[{'drones': {'A': 3, 'B': 2, 'C': 2}, 'batteries': {'A': 6, 'B': 4, 'C': 4}, 'relay_drones': 3, 'relay_modules': 3}, {'drones': {'A': 1, 'B': 1, 'C': 1}, 'batteries': {'A': 1, 'B': 1, 'C': 1}, 'relay_drones': 1, 'relay_modules': 1}]","((0, 1), (2, 3))",35,10.333333333333334,2
2,4,"组1{S002,S003,S004,S005,S007,S008,S009,S010,S013,S015,S006,S011,S012} | 组2{S001,S014}",13;2,4,2,3,6,4,5,4,4,4,0.6915465341907693,66.60;12.14,"[66.6016, 12.1448]","[{'drones': {'A': 3, 'B': 2, 'C': 2}, 'batteries': {'A': 5, 'B': 4, 'C': 3}, 'relay_drones': 3, 'relay_modules': 3}, {'drones': {'A': 1, 'C': 1}, 'batteries': {'A': 1, 'C': 2}, 'relay_drones': 1, 'relay_modules': 1}]","((0, 2, 3), (1,))",32,9.416666666666666,2
2,5,"组1{S002,S003,S004,S005,S007,S008,S009,S010,S013,S015,S006,S011} | 组2{S001,S014,S012}",12;3,4,3,3,6,5,5,4,4,6,0.6216792132719718,63.85;14.90,"[63.85070000000001, 14.895700000000001]","[{'drones': {'A': 3, 'B': 2, 'C': 2}, 'batteries': {'A': 5, 'B': 4, 'C': 3}, 'relay_drones': 3, 'relay_modules': 3}, {'drones': {'A': 1, 'B': 1, 'C': 1}, 'batteries': {'A': 1, 'B': 1, 'C': 2}, 'relay_drones': 1, 'relay_modules': 1}]","((0, 2), (1, 3))",34,10.166666666666666,2
2,6,"组1{S002,S003,S004,S005,S007,S008,S009,S010,S013,S015,S012} | 组2{S001,S014,S006,S011}",11;4,5,2,4,7,4,6,4,4,8,0.5585652169496002,61.37;17.38,"[61.3657, 17.3807]","[{'drones': {'A': 3, 'B': 2, 'C': 2}, 'batteries': {'A': 5, 'B': 4, 'C': 3}, 'relay_drones': 3, 'relay_modules': 3}, {'drones': {'A': 2, 'C': 2}, 'batteries': {'A': 2, 'C': 3}, 'relay_drones': 1, 'relay_modules': 1}]","((0, 3), (1, 2))",36,10.583333333333334,2
2,7,"组1{S002,S003,S004,S005,S007,S008,S009,S010,S013,S015} | 组2{S001,S014,S006,S011,S012}",10;5,5,3,4,7,5,6,4,4,10,0.48869789603080266,58.61;20.13,"[58.614799999999995, 20.1316]","[{'drones': {'A': 3, 'B': 2, 'C': 2}, 'batteries': {'A': 5, 'B': 4, 'C': 3}, 'relay_drones': 3, 'relay_modules': 3}, {'drones': {'A': 2, 'B': 1, 'C': 2}, 'batteries': {'A': 2, 'B': 1, 'C': 3}, 'relay_drones': 1, 'relay_modules': 1}]","((0,), (1, 2, 3))",38,11.333333333333334,2
3,1,"组1{S002,S003,S004,S005,S007,S008,S009,S010,S013,S015,S001,S014} | 组2{S006,S011} | 组3{S012}",12;2;1,4,3,3,7,5,5,4,4,7,1.1655505213667834,69.51;5.24;4.00,"[69.5098, 5.2359, 4.0007]","[{'drones': {'A': 3, 'B': 2, 'C': 2}, 'batteries': {'A': 6, 'B': 4, 'C': 4}, 'relay_drones': 3, 'relay_modules': 3}, {'drones': {'A': 1, 'C': 1}, 'batteries': {'A': 1, 'C': 1}, 'relay_drones': 0, 'relay_modules': 0}, {'drones': {'B': 1}, 'batteries': {'B': 1}, 'relay_drones': 1, 'relay_modules': 1}]","((0, 1), (2,), (3,))",35,10.333333333333334,2
3,2,"组1{S002,S003,S004,S005,S007,S008,S009,S010,S013,S015,S006,S011} | 组2{S001,S014} | 组3{S012}",12;2;1,4,3,3,6,5,5,5,5,7,0.9939229077612808,63.85;12.14;4.00,"[63.85070000000001, 12.1448, 4.0007]","[{'drones': {'A': 3, 'B': 2, 'C': 2}, 'batteries': {'A': 5, 'B': 4, 'C': 3}, 'relay_drones': 3, 'relay_modules': 3}, {'drones': {'A': 1, 'C': 1}, 'batteries': {'A': 1, 'C': 2}, 'relay_drones': 1, 'relay_modules': 1}, {'drones': {'B': 1}, 'batteries': {'B': 1}, 'relay_drones': 1, 'relay_modules': 1}]","((0, 2), (1,), (3,))",36,10.833333333333334,1
3,3,"组1{S002,S003,S004,S005,S007,S008,S009,S010,S013,S015} | 组2{S001,S014,S006,S011} | 组3{S012}",10;4;1,5,3,4,7,5,6,5,5,11,0.8716397301016858,58.61;17.38;4.00,"[58.614799999999995, 17.3807, 4.0007]","[{'drones': {'A': 3, 'B': 2, 'C': 2}, 'batteries': {'A': 5, 'B': 4, 'C': 3}, 'relay_drones': 3, 'relay_modules': 3}, {'drones': {'A': 2, 'C': 2}, 'batteries': {'A': 2, 'C': 3}, 'relay_drones': 1, 'relay_modules': 1}, {'drones': {'B': 1}, 'batteries': {'B': 1}, 'relay_drones': 1, 'relay_modules': 1}]","((0,), (1, 2), (3,))",40,12.000000000000002,1
